#Feature ID	taxonomy	Confidence
53b1d1c59a006cd4c3a44c6dbfbd83e3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9997306819493106
cef8a9a339238c70ce8fc670257e72de	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	0.9966446470047566
2bd8c88c2ec1a6f6eb8b4669d7aea459	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9984826387774622
073a1090ae8b5f1e8a678f7f0824538f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9988156818023278
01f112560d14f06aa4083bdd9d10110d	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9992306372434255
bd4bedb8899b9eb1b181b9337b60c09b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium	0.9998513980706819
81903935f8b96a7906f912d9e206684a	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9999432179527553
42ea193d4e4f589fafabf9bff63e401e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9998212693731486
60646ff4bbef4968615bcfc6843dd907	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9966816738937121
a8a0025432aadd26346cfd0a9bc04b45	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Terribacillus	0.9992416782562059
efcd273d1d98c0279d1f21462e55a2aa	d__Bacteria; p__Firmicutes; c__Bacilli; o__Exiguobacterales; f__Exiguobacteraceae; g__Exiguobacterium	0.9999985102183994
f4cc57affa00e485f35f6cccd5452742	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Terribacillus	0.9992307968615232
2e493b5ce9e45349cb3e865ff922693b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium; s__Microbacterium_aquimaris	0.8615351188737561
fb7f14a3e8819a6b6e06ad2afabacf72	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Terribacillus	0.9989502189143666
26e5357097ca81d91d3ac939aeba086f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_infantis	0.925348833453978
